,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -
329,New Jersey Devils,2002,46,20,6,0.561,216,166,50
330,New York Islanders,2002,35,34,2,0.427,224,231,-7
331,New York Rangers,2002,32,36,4,0.39,210,231,-21
332,Ottawa Senators,2002,52,21,1,0.634,263,182,81
333,Philadelphia Flyers,2002,45,20,4,0.549,211,166,45
334,Phoenix Coyotes,2002,31,35,5,0.378,204,230,-26
335,Pittsburgh Penguins,2002,27,44,5,0.329,189,255,-66
336,San Jose Sharks,2002,28,37,8,0.341,214,239,-25
337,St. Louis Blues,2002,41,24,6,0.5,253,222,31
338,Tampa Bay Lightning,2002,36,25,5,0.439,219,210,9
339,Toronto Maple Leafs,2002,44,28,3,0.537,236,208,28
340,Vancouver Canucks,2002,45,23,1,0.549,264,208,56
341,Washington Capitals,2002,39,29,6,0.476,224,220,4
342,Mighty Ducks of Anaheim,2003,29,35,8,0.354,184,213,-29
343,Atlanta Thrashers,2003,33,37,4,0.402,214,243,-29
344,Boston Bruins,2003,41,19,7,0.5,209,188,21
345,Buffalo Sabres,2003,37,34,4,0.451,220,221,-1
346,Calgary Flames,2003,42,30,3,0.512,200,176,24
347,Carolina Hurricanes,2003,28,34,6,0.341,172,209,-37
348,Columbus Blue Jackets,2003,25,45,4,0.305,177,238,-61
349,Chicago Blackhawks,2003,20,43,8,0.244,188,259,-71
350,Colorado Avalanche,2003,40,22,7,0.488,236,198,38
351,Dallas Stars,2003,41,26,2,0.5,194,175,19
352,Detroit Red Wings,2003,48,21,2,0.585,255,189,66
353,Edmonton Oilers,2003,36,29,5,0.439,221,208,13
354,Florida Panthers,2003,28,35,4,0.341,188,221,-33
355,Los Angeles Kings,2003,28,29,9,0.341,205,217,-12
356,Minnesota Wild,2003,30,29,3,0.366,188,183,5
357,Montreal Canadiens,2003,41,30,4,0.5,208,192,16
358,Nashville Predators,2003,38,29,4,0.463,216,217,-1
359,New Jersey Devils,2003,43,25,2,0.524,213,164,49
360,New York Islanders,2003,38,29,4,0.463,237,210,27
361,New York Rangers,2003,27,40,8,0.329,206,250,-44
362,Ottawa Senators,2003,43,23,6,0.524,262,189,73
363,Philadelphia Flyers,2003,40,21,6,0.488,229,186,43
364,Phoenix Coyotes,2003,22,36,6,0.268,188,245,-57
365,Pittsburgh Penguins,2003,23,47,4,0.28,190,303,-113
366,San Jose Sharks,2003,43,21,6,0.524,219,183,36
367,St. Louis Blues,2003,39,30,2,0.476,191,198,-7
368,Tampa Bay Lightning,2003,46,22,6,0.561,245,192,53
369,Toronto Maple Leafs,2003,45,24,3,0.549,242,204,38
370,Vancouver Canucks,2003,43,24,5,0.524,235,194,41
371,Washington Capitals,2003,23,46,3,0.28,186,253,-67
372,Mighty Ducks of Anaheim,2005,43,27,12,0.524,254,229,25
373,Atlanta Thrashers,2005,41,33,8,0.5,281,275,6
374,Boston Bruins,2005,29,37,16,0.354,230,266,-36
375,Buffalo Sabres,2005,52,24,6,0.634,281,239,42
376,Calgary Flames,2005,46,25,11,0.561,218,200,18
377,Carolina Hurricanes,2005,52,22,8,0.634,294,260,34
378,Columbus Blue Jackets,2005,35,43,4,0.427,223,279,-56
379,Chicago Blackhawks,2005,26,43,13,0.317,211,285,-74
380,Colorado Avalanche,2005,43,30,9,0.524,283,257,26
381,Dallas Stars,2005,53,23,6,0.646,265,218,47
382,Detroit Red Wings,2005,58,16,8,0.707,305,209,96
383,Edmonton Oilers,2005,41,28,13,0.5,256,251,5
384,Florida Panthers,2005,37,34,11,0.451,240,257,-17
385,Los Angeles Kings,2005,42,35,5,0.512,249,270,-21
386,Minnesota Wild,2005,38,36,8,0.463,231,215,16
387,Montreal Canadiens,2005,42,31,9,0.512,243,247,-4
388,Nashville Predators,2005,49,25,8,0.598,259,227,32
389,New Jersey Devils,2005,46,27,9,0.561,242,229,13
390,New York Islanders,2005,36,40,6,0.439,230,278,-48
391,New York Rangers,2005,44,26,12,0.537,257,215,42
392,Ottawa Senators,2005,52,21,9,0.634,314,211,103
393,Philadelphia Flyers,2005,45,26,11,0.549,267,259,8
394,Phoenix Coyotes,2005,38,39,5,0.463,246,271,-25
395,Pittsburgh Penguins,2005,22,46,14,0.268,244,316,-72
396,San Jose Sharks,2005,44,27,11,0.537,266,242,24
397,St. Louis Blues,2005,21,46,15,0.256,197,292,-95
398,Tampa Bay Lightning,2005,43,33,6,0.524,252,260,-8
399,Toronto Maple Leafs,2005,41,33,8,0.5,257,270,-13
400,Vancouver Canucks,2005,42,32,8,0.512,256,255,1
401,Washington Capitals,2005,29,41,12,0.354,237,306,-69
402,Anaheim Ducks,2006,48,20,14,0.585,258,208,50
403,Atlanta Thrashers,2006,43,28,11,0.524,246,245,1
404,Boston Bruins,2006,35,41,6,0.427,219,289,-70
405,Buffalo Sabres,2006,53,22,7,0.646,308,242,66
406,Calgary Flames,2006,43,29,10,0.524,258,226,32
407,Carolina Hurricanes,2006,40,34,8,0.488,241,253,-12
408,Columbus Blue Jackets,2006,33,42,7,0.402,201,249,-48
409,Chicago Blackhawks,2006,31,42,9,0.378,201,258,-57
410,Colorado Avalanche,2006,44,31,7,0.537,272,251,21
411,Dallas Stars,2006,50,25,7,0.61,226,197,29
412,Detroit Red Wings,2006,50,19,13,0.61,254,199,55
413,Edmonton Oilers,2006,32,43,7,0.39,195,248,-53
414,Florida Panthers,2006,35,31,16,0.427,247,257,-10
415,Los Angeles Kings,2006,27,41,14,0.329,227,283,-56
416,Minnesota Wild,2006,48,26,8,0.585,235,191,44
417,Montreal Canadiens,2006,42,34,6,0.512,245,256,-11
418,Nashville Predators,2006,51,23,8,0.622,272,212,60
419,New Jersey Devils,2006,49,24,9,0.598,216,201,15
420,New York Islanders,2006,40,30,12,0.488,248,240,8
421,New York Rangers,2006,42,30,10,0.512,242,216,26
422,Ottawa Senators,2006,48,25,9,0.585,288,222,66
423,Philadelphia Flyers,2006,22,48,12,0.268,214,303,-89
424,Phoenix Coyotes,2006,31,46,5,0.378,216,284,-68
425,Pittsburgh Penguins,2006,47,24,11,0.573,277,246,31
426,San Jose Sharks,2006,51,26,5,0.622,258,199,59
427,St. Louis Blues,2006,34,35,13,0.415,214,254,-40
428,Tampa Bay Lightning,2006,44,33,5,0.537,253,261,-8
429,Toronto Maple Leafs,2006,40,31,11,0.488,258,269,-11
430,Vancouver Canucks,2006,49,26,7,0.598,222,201,21
431,Washington Capitals,2006,28,40,14,0.341,235,286,-51
432,Anaheim Ducks,2007,47,27,8,0.573,205,191,14
433,Atlanta Thrashers,2007,34,40,8,0.415,216,272,-56
434,Boston Bruins,2007,41,29,12,0.5,212,222,-10
435,Buffalo Sabres,2007,39,31,12,0.476,255,242,13
436,Calgary Flames,2007,42,30,10,0.512,229,227,2
437,Carolina Hurricanes,2007,43,33,6,0.524,252,249,3
438,Columbus Blue Jackets,2007,34,36,12,0.415,193,218,-25
439,Chicago Blackhawks,2007,40,34,8,0.488,239,235,4
440,Colorado Avalanche,2007,44,31,7,0.537,231,219,12
441,Dallas Stars,2007,45,30,7,0.549,242,207,35
442,Detroit Red Wings,2007,54,21,7,0.659,257,184,73
443,Edmonton Oilers,2007,41,35,6,0.5,235,251,-16
444,Florida Panthers,2007,38,35,9,0.463,216,226,-10
445,Los Angeles Kings,2007,32,43,7,0.39,231,266,-35
446,Minnesota Wild,2007,44,28,10,0.537,223,218,5
447,Montreal Canadiens,2007,47,25,10,0.573,262,222,40
448,Nashville Predators,2007,41,32,9,0.5,230,229,1
449,New Jersey Devils,2007,46,29,7,0.561,206,197,9
450,New York Islanders,2007,35,38,9,0.427,194,243,-49
451,New York Rangers,2007,42,27,13,0.512,213,199,14
452,Ottawa Senators,2007,43,31,8,0.524,261,247,14
